GISJOIN,AREANAME,PopTotal,White,NonWhite,WhiteNative,Black,MedHouseValue,MedGrossRent
G17003100244,STCTY-17031 TRACT-    0244     IN CHICAGO IL,"4495","4486","9","3328","5","2434",36.55
G17003100245,STCTY-17031 TRACT-    0245     IN CHICAGO IL,"4171","4171","0","3281","0","1953",28.87
G17003100246,STCTY-17031 TRACT-    0246     IN CHICAGO IL,"4401","4400","1","3478","0","2667",32.33
G17003100247,STCTY-17031 TRACT-    0247     IN CHICAGO IL,"6050","6049","1","4637","0","1996",26.31
G17003100248,STCTY-17031 TRACT-    0248     IN CHICAGO IL,"5892","5891","1","4475","0","1835",22.19
G17003100249,STCTY-17031 TRACT-    0249     IN CHICAGO IL,"7171","7165","6","5455","4","3104",37.64
G17003100250,STCTY-17031 TRACT-    0250     IN CHICAGO IL,"3594","3591","3","2637","2","2300",35.95
G17003100251,STCTY-17031 TRACT-    0251     IN CHICAGO IL,"1325","1325","0","1030","0","2414",31.28
G17003100252,STCTY-17031 TRACT-    0252     IN CHICAGO IL,"1177","1177","0","930","0","0",28.41
G17003100253,STCTY-17031 TRACT-    0253     IN CHICAGO IL,"6686","6681","5","4886","5","3176",40.07
G17003100254,STCTY-17031 TRACT-    0254     IN CHICAGO IL,"4179","4171","8","3064","5","3230",41.59
G17003100255,STCTY-17031 TRACT-    0255     IN CHICAGO IL,"2758","2757","1","2002","1","2081",29.84
G17003100256,STCTY-17031 TRACT-    0256     IN CHICAGO IL,"2725","2725","0","2018","0","1971",31.24
G17003100257,STCTY-17031 TRACT-    0257     IN CHICAGO IL,"2289","2288","1","1700","1","2027",29.78
G17003100258,STCTY-17031 TRACT-    0258     IN CHICAGO IL,"2600","2600","0","2076","0","1808",28.19
G17003100259,STCTY-17031 TRACT-    0259     IN CHICAGO IL,"1772","1772","0","1460","0","1445",25.17
G17003100260,STCTY-17031 TRACT-    0260     IN CHICAGO IL,"3385","3370","15","2620","10","1991",25.77
G17003100261,STCTY-17031 TRACT-    0261     IN CHICAGO IL,"3832","3832","0","2893","0","1954",26.44
G17003100262,STCTY-17031 TRACT-    0262     IN CHICAGO IL,"1294","1294","0","1000","0","2052",29.65
G17003100263,STCTY-17031 TRACT-    0263     IN CHICAGO IL,"2635","2635","0","2060","0","1944",24.35
G17003100264,STCTY-17031 TRACT-    0264     IN CHICAGO IL,"1644","1644","0","1304","0","1711",22.95
G17003100265,STCTY-17031 TRACT-    0265     IN CHICAGO IL,"3516","3509","7","2747","7","2348",35
G17003100266,STCTY-17031 TRACT-    0266     IN CHICAGO IL,"2697","2696","1","2068","1","3173",38.33
G17003100267,STCTY-17031 TRACT-    0267     IN CHICAGO IL,"1144","1144","0","912","0","0",28.62
G17003100268,STCTY-17031 TRACT-    0268     IN CHICAGO IL,"6765","6764","1","5143","0","3012",34.79
G17003100269,STCTY-17031 TRACT-    0269     IN CHICAGO IL,"1514","1514","0","1141","0","3286",32.86
G17003100270,STCTY-17031 TRACT-    0270     IN CHICAGO IL,"9378","9378","0","6894","0","3008",36.31
G17003100271,STCTY-17031 TRACT-    0271     IN CHICAGO IL,"1646","1646","0","1184","0","3147",34.5
G17003100272,STCTY-17031 TRACT-    0272     IN CHICAGO IL,"2830","2829","1","2181","0","2201",32.78
